date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:47:36	5096/5096	---M-Z	200	added ('OK')	text/css	etag:%2213e8-67a66271-cf6637898eccef3c;gz%22	https://www.gharpayy.com/homes/assets/css/header.css	C:/My%20Web%20Sites/Gharpayy_Homes/www.gharpayy.com/homes/assets/css/header.css	(from https://www.gharpayy.com/homes/style.css)
12:47:36	14410/14410	---M-Z	200	added ('OK')	text/css	etag:%22384a-67a66271-c405bec2f55448f;gz%22	https://www.gharpayy.com/homes/assets/css/hero-area.css	C:/My%20Web%20Sites/Gharpayy_Homes/www.gharpayy.com/homes/assets/css/hero-area.css	(from https://www.gharpayy.com/homes/style.css)
12:47:36	1381/1381	---M-Z	200	added ('OK')	text/css	etag:%22565-67a66271-dbac995268fcb60b;gz%22	https://www.gharpayy.com/homes/assets/css/company-fact.css	C:/My%20Web%20Sites/Gharpayy_Homes/www.gharpayy.com/homes/assets/css/company-fact.css	(from https://www.gharpayy.com/homes/style.css)
12:47:36	16729/16729	---M-Z	200	added ('OK')	text/css	etag:%224159-67a66271-5858efe56aa20ab;gz%22	https://www.gharpayy.com/homes/assets/css/services.css	C:/My%20Web%20Sites/Gharpayy_Homes/www.gharpayy.com/homes/assets/css/services.css	(from https://www.gharpayy.com/homes/style.css)
12:47:37	4982/4982	---M-Z	200	added ('OK')	text/css	etag:%221376-67a66271-cb2e1ca7e5210319;gz%22	https://www.gharpayy.com/homes/assets/css/strap.css	C:/My%20Web%20Sites/Gharpayy_Homes/www.gharpayy.com/homes/assets/css/strap.css	(from https://www.gharpayy.com/homes/style.css)
12:47:37	12049/12049	---M-Z	200	added ('OK')	text/css	etag:%222f11-67a66271-6df24e25e7b21f8d;gz%22	https://www.gharpayy.com/homes/assets/css/about-us.css	C:/My%20Web%20Sites/Gharpayy_Homes/www.gharpayy.com/homes/assets/css/about-us.css	(from https://www.gharpayy.com/homes/style.css)
12:47:37	5160/5160	---M-Z	200	added ('OK')	text/css	etag:%221428-67a66271-8cef25d68e0a31f;gz%22	https://www.gharpayy.com/homes/assets/css/call-action.css	C:/My%20Web%20Sites/Gharpayy_Homes/www.gharpayy.com/homes/assets/css/call-action.css	(from https://www.gharpayy.com/homes/style.css)
12:47:37	13029/13029	---M-Z	200	added ('OK')	text/css	etag:%2232e5-67a66271-69a294e02afe85ea;gz%22	https://www.gharpayy.com/homes/assets/css/portfolio.css	C:/My%20Web%20Sites/Gharpayy_Homes/www.gharpayy.com/homes/assets/css/portfolio.css	(from https://www.gharpayy.com/homes/style.css)
12:47:38	5496/5496	---M-Z	200	added ('OK')	text/css	etag:%221578-67a66271-339c7e5171d57954;gz%22	https://www.gharpayy.com/homes/assets/css/pricing.css	C:/My%20Web%20Sites/Gharpayy_Homes/www.gharpayy.com/homes/assets/css/pricing.css	(from https://www.gharpayy.com/homes/style.css)
12:47:38	11869/11869	---M-Z	200	added ('OK')	text/css	etag:%222e5d-67a66271-fdf468b58cf23040;gz%22	https://www.gharpayy.com/homes/assets/css/contact-us.css	C:/My%20Web%20Sites/Gharpayy_Homes/www.gharpayy.com/homes/assets/css/contact-us.css	(from https://www.gharpayy.com/homes/style.css)
12:47:38	4423/4423	---M-Z	200	added ('OK')	text/css	etag:%221147-67a66271-c99a6283ed0c325;gz%22	https://www.gharpayy.com/homes/assets/css/what-we-do.css	C:/My%20Web%20Sites/Gharpayy_Homes/www.gharpayy.com/homes/assets/css/what-we-do.css	(from https://www.gharpayy.com/homes/style.css)
12:47:38	17884/17884	---M-Z	200	added ('OK')	text/css	etag:%2245dc-67a66271-166973a3314a1cb1;gz%22	https://www.gharpayy.com/homes/assets/css/blog.css	C:/My%20Web%20Sites/Gharpayy_Homes/www.gharpayy.com/homes/assets/css/blog.css	(from https://www.gharpayy.com/homes/style.css)
